time,price,value
2025-05-15T00:05:00.000Z,3.815,187157
2025-05-15T00:05:00.000Z,3.82,51798
2025-05-15T00:05:00.000Z,3.825,79842
2025-05-15T00:05:00.000Z,3.83,0
2025-05-15T00:05:00.000Z,3.835,2
2025-05-15T00:05:00.000Z,3.84,0
2025-05-15T00:05:00.000Z,3.845,0
2025-05-15T00:05:00.000Z,3.85,43035
2025-05-15T00:05:00.000Z,3.855,171963
2025-05-15T00:05:00.000Z,3.86,3180001
2025-05-15T00:05:00.000Z,3.865,0
2025-05-15T00:05:00.000Z,3.87,98
2025-05-15T00:05:00.000Z,3.875,49570
2025-05-15T00:05:00.000Z,3.88,194047
2025-05-15T00:05:00.000Z,3.885,367631
2025-05-15T00:05:00.000Z,3.89,376085
2025-05-15T00:05:00.000Z,3.895,154510
2025-05-15T00:05:00.000Z,3.9,77958
2025-05-15T00:05:00.000Z,3.905,182448
2025-05-15T00:05:00.000Z,3.91,447419
2025-05-15T00:05:00.000Z,3.915,304996
2025-05-15T00:05:00.000Z,3.92,273412
2025-05-15T00:05:00.000Z,3.925,68569
2025-05-15T00:05:00.000Z,3.93,85756
2025-05-15T00:05:00.000Z,3.935,3813
2025-05-15T00:05:00.000Z,3.94,0
2025-05-15T00:05:00.000Z,3.945,1462
2025-05-15T00:05:00.000Z,3.95,-691815
2025-05-15T00:05:00.000Z,3.955,-4998986
2025-05-15T00:05:00.000Z,3.96,511170
2025-05-15T00:05:00.000Z,3.965,-3984842
2025-05-15T00:05:00.000Z,3.97,188668
2025-05-15T00:05:00.000Z,3.975,102857
2025-05-15T00:05:00.000Z,3.98,17264
2025-05-15T00:05:00.000Z,3.985,57047
2025-05-15T00:05:00.000Z,3.99,26062
2025-05-15T00:05:00.000Z,3.995,0
2025-05-15T00:05:00.000Z,4,-353880
2025-05-15T00:05:00.000Z,4.005,43128
2025-05-15T00:05:00.000Z,4.01,0
2025-05-15T00:05:00.000Z,4.015,13567
2025-05-15T00:05:00.000Z,4.02,-857077
2025-05-15T00:05:00.000Z,4.025,-537078
2025-05-15T00:05:00.000Z,4.03,-394691
2025-05-15T00:05:00.000Z,4.035,-34232
2025-05-15T00:05:00.000Z,4.04,303309
2025-05-15T00:05:00.000Z,4.045,123549
2025-05-15T00:05:00.000Z,4.05,212035
2025-05-15T00:05:00.000Z,4.055,47338
2025-05-15T00:05:00.000Z,4.06,31100
2025-05-15T00:05:00.000Z,4.065,3895
2025-05-15T00:05:00.000Z,4.07,0
2025-05-15T00:05:00.000Z,4.075,0
